relative_path,caption_type,caption_index,caption_text,caption_index_truncated
paper/Hu et al 2026 - Conformal Robustness Control.pdf,table,14,"Table 6: The results of CRC ablation experiments with nominal level α = 0.1, where the sample",false
paper/Jagtiani Lemieux 2019 - Alternative Data and Machine Learning in Fintech Lending.pdf,table,1,Table 1 shows the comparison of interest rate spreads that borrowers are charged on,false
paper/Jagtiani Lemieux 2019 - Alternative Data and Machine Learning in Fintech Lending.pdf,table,2,"Table 2. For example, we observe a significantly positive relationship between interest rate spreads",false
paper/Jagtiani Lemieux 2019 - Alternative Data and Machine Learning in Fintech Lending.pdf,figure,3,Figure 1. Correlation Between Origination FICO and,false
paper/Jagtiani Lemieux 2019 - Alternative Data and Machine Learning in Fintech Lending.pdf,figure,4,Figure 4. Average Spread by Rating Grades — Cards and,false
paper/Jagtiani Lemieux 2019 - Alternative Data and Machine Learning in Fintech Lending.pdf,figure,5,Figure 5. LendingClub Loans,false
paper/Jagtiani Lemieux 2019 - Alternative Data and Machine Learning in Fintech Lending.pdf,figure,6,Figure 7. LendingClub vs. Y-14M Cards Figure 8. LendingClub Loans,false
paper/Johnstone Cox 2021 - Conformal Uncertainty Sets for Robust Optimization.pdf,figure,1,Figure 1: Uncertainty set constructed with q = 1 (left) and q = 2 (right) for random,false
paper/Johnstone Cox 2021 - Conformal Uncertainty Sets for Robust Optimization.pdf,figure,2,"Figure 2: Illustration of (7), showing the feasible region (left) and uncertainty set (right).",false
paper/Johnstone Cox 2021 - Conformal Uncertainty Sets for Robust Optimization.pdf,figure,3,Figure 3: Example of nonconvexity for full conformal prediction region with sample co-,false
paper/Johnstone Cox 2021 - Conformal Uncertainty Sets for Robust Optimization.pdf,figure,4,Figure 4 compares the overall robust optimization performance of the three uncertainty,false
paper/Johnstone Cox 2021 - Conformal Uncertainty Sets for Robust Optimization.pdf,figure,5,Figure 4: α worst-case objective function value across n test cases with 100 experiment,false
paper/Johnstone Cox 2021 - Conformal Uncertainty Sets for Robust Optimization.pdf,figure,6,Figure 5: Empirical coverage across n test cases with 100 experiment repetitions for nor-,false
paper/Johnstone Cox 2021 - Conformal Uncertainty Sets for Robust Optimization.pdf,figure,7,Figure 6: Empirical coverage across n test cases with 100 experiment repetitions for nor-,false
paper/Johnstone Cox 2021 - Conformal Uncertainty Sets for Robust Optimization.pdf,figure,8,Figure 7: log of α worst-case objective function value across n test cases with 100 experi-,false
paper/Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,figure,1,"Figure 1: CPO leverages informative, non-convex conformal prediction regions for robust predict-then-optimize",false
paper/Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,table,2,"Table 1: Coverages across tasks for α = 0.05 are shown in the left table, where coverage was assessed over a batch of",false
paper/Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,figure,3,Figure 2. Inflection points were around K = 10 for most setups.,false
paper/Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,figure,4,Figure 2: Average volume estimates ℓ({B ck )}) over x(i) ∈ DC2 across SBI benchmarks.,false
paper/Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,table,5,Table 2: Coverage was assessed over 128 i.i.d. test samples and average objective optima over 10 i.i.d. test samples,false
paper/Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,figure,6,"Figure 3: Suboptimality of the approximate representative points ∆(Ξ, Ξ)",false
paper/Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,figure,7,Figure 3 demonstrates the suboptimality of Ξ b decreases with increasing samples. Of note is that this convergence is,false
paper/Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,figure,8,Figure 4: Solutions for the RTFP under the Box (left) and CPO (right) uncertainty regions.,false
paper/Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,figure,9,Figure 5: Two RPs for C(x) for travel time prediction (left) and the extents of their Voronoi cells (right).,false
paper/Patel et al 2024 - Conformal Contextual Robust Optimization.pdf,figure,10,Figure 6: Precipitation maps (left) are converted to edge weights (right) as per Equation 19. Solving the shortest paths,false
