learner,learner_label,window_id,score_stratum,fit_rows,target_rows,resolved_rows,unresolved_rows,completion_directional_ks_denominator,calibration_minus_target_ks_min,calibration_minus_target_ks_max,target_minus_calibration_ks_min,target_minus_calibration_ks_max,calibration_minus_target_ks_min_numerator,calibration_minus_target_ks_max_numerator,target_minus_calibration_ks_min_numerator,target_minus_calibration_ks_max_numerator,sharp_directional_discrepancy_comparison,v5_q_and_coverage_reconciled
numeric_logistic_platt,Numeric logistic,w07_2012m07_m12,5,11242,115768,112176,3592,1301463856,0.0866441902939792,0.1124848741093275,0.0004923640384216,0.0009909072726488,112764282,146394998,640794,1289630,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w08_2012m08_2013m01,1,2116,48646,47005,1641,102934936,0.0265583300114938,0.0594350784849178,0.116795040315564,0.1242776699253983,2733780,6117946,12022290,12792514,smaller_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w08_2012m08_2013m01,2,3363,55311,53433,1878,186010893,0.0220759006839454,0.0558847271379961,0.0072795414191146,0.0132231933320163,4106358,10395168,1354074,2459658,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w08_2012m08_2013m01,3,4765,70157,67884,2273,334298105,0.0310935115830225,0.0632499606900254,0.0078078187131811,0.0216582382361993,10394502,21144342,2610139,7240308,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w08_2012m08_2013m01,4,7477,87008,84316,2692,650558816,0.0381304401537769,0.0689781782927986,0.0094412124606424,0.0181517162008607,24806094,44874362,6142064,11808759,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w08_2012m08_2013m01,5,12408,115768,112176,3592,1436449344,0.0870600724782676,0.1137945759680057,0.0007124845747432,0.0042742614110588,125057384,163460144,1023448,6139760,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w01_2012m01_m06,1,1873,54840,53021,1819,102715320,0.0478711549552686,0.0599589817760388,0.0031986757184809,0.0036180776149069,4917101,6158706,328553,371632,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w01_2012m01_m06,2,2364,73852,71333,2519,174586128,0.0107310702256939,0.0424127167766731,0.0006022929840107,0.0205168419795643,1873496,7404672,105152,3581956,directional_discrepancies_not_robustly_ordered,True
catboost_monotonic_platt,Monotonic CatBoost,w01_2012m01_m06,3,3070,81100,78463,2637,248977000,0.025417729348494,0.0565585977821244,0.0132821505600918,0.0210503379830265,6328430,14081790,3306950,5241050,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w01_2012m01_m06,4,3579,78800,76404,2396,282025200,0.0334710196110134,0.0638065640942724,0.0012994122511038,0.0056525799822143,9439671,17995059,366467,1594170,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w01_2012m01_m06,5,4062,88298,85593,2705,358666476,0.0685527520559239,0.0922792237766877,0.0001782324367555,0.0010898258581602,24587574,33097464,63926,390884,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w02_2012m02_m07,1,1947,54840,53021,1819,106773480,0.0532240871047754,0.0642744153323465,0.0041181293332389,0.0045375312296648,5682921,6862803,439707,484488,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w02_2012m02_m07,2,2516,73852,71333,2519,185811632,0.0097922394869229,0.0426608383699035,0.0005511818549658,0.0201324748065287,1819512,7926880,102416,3740848,directional_discrepancies_not_robustly_ordered,True
catboost_monotonic_platt,Monotonic CatBoost,w02_2012m02_m07,3,3430,81100,78463,2637,278173000,0.0235867967056472,0.0557466396810617,0.0165470768191017,0.0318442839527919,6561210,15507210,4602950,8858220,directional_discrepancies_not_robustly_ordered,True
catboost_monotonic_platt,Monotonic CatBoost,w02_2012m02_m07,4,4117,78800,76404,2396,324419600,0.0270121965503933,0.055331542853761,0.0017980017236936,0.0088425915080346,8763286,17950637,583307,2868710,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w02_2012m02_m07,5,4664,88298,85593,2705,411821872,0.0736980040729842,0.0974018252240862,0.0002128638762537,0.0013894065344834,30350450,40112202,87662,572188,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w03_2012m03_m08,1,2171,54840,53021,1819,119057640,0.0548298538422229,0.0675934446542027,0.004664387770495,0.0050837896669209,6527913,8047516,555331,605264,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w03_2012m03_m08,2,2705,73852,71333,2519,199769660,0.0144681179314216,0.0485735071081364,0.003112029123942,0.0176364519016551,2890291,9703513,621689,3523228,directional_discrepancies_not_robustly_ordered,True
catboost_monotonic_platt,Monotonic CatBoost,w03_2012m03_m08,3,3881,81100,78463,2637,314749100,0.0252875576133498,0.0573452823216968,0.019073738415773,0.0304503237658185,7959236,18049376,6003442,9584212,directional_discrepancies_not_robustly_ordered,True
catboost_monotonic_platt,Monotonic CatBoost,w03_2012m03_m08,4,4787,78800,76404,2396,377215600,0.0258807801161988,0.0550036557342803,0.0053724395279516,0.0124917288680531,9762634,20748237,2026568,4712075,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w03_2012m03_m08,5,5505,88298,85593,2705,486080490,0.0804975241857578,0.1037716387259237,0.0002962513471791,0.0016884734460335,39128276,50441369,144002,820734,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w04_2012m04_m09,1,2275,54840,53021,1819,124761000,0.0615737690464167,0.0750274124125327,0.0042064026418512,0.0046258045382771,7682005,9360495,524795,577120,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w04_2012m04_m09,2,2908,73852,71333,2519,214761616,0.0151682412372981,0.0492136732664555,0.0035908278879778,0.0167579294057835,3257556,10569208,771172,3598960,directional_discrepancies_not_robustly_ordered,True
catboost_monotonic_platt,Monotonic CatBoost,w04_2012m04_m09,3,4367,81100,78463,2637,354163700,0.0306060841356694,0.063022853556138,0.0180672242807492,0.0331287565608784,10839564,22320407,6398755,11733003,directional_discrepancies_not_robustly_ordered,True
catboost_monotonic_platt,Monotonic CatBoost,w04_2012m04_m09,4,5622,78800,76404,2396,443013600,0.0278347888191242,0.05547152051314,0.010462450814151,0.0191609467519733,12331190,24574638,4635008,8488560,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w04_2012m04_m09,5,6595,88298,85593,2705,582325310,0.0869635221591175,0.109120355768153,0.0005036823833056,0.0026656406193301,50641060,63543545,293307,1552270,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w05_2012m05_m10,1,2365,54840,53021,1819,129696600,0.0594688681121941,0.073309130694251,0.0053402710633894,0.0057779078248774,7712910,9507945,692615,749375,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w05_2012m05_m10,2,3134,73852,71333,2519,231452168,0.0179899546242314,0.0518956037603415,0.0110383671152304,0.0201366443886583,4163814,12011350,2554854,4660670,directional_discrepancies_not_robustly_ordered,True
catboost_monotonic_platt,Monotonic CatBoost,w05_2012m05_m10,3,4888,81100,78463,2637,396416800,0.0337626155097362,0.0660871184066871,0.0257049045348229,0.0424505015932725,13384068,26198044,10189856,16828092,directional_discrepancies_not_robustly_ordered,True
catboost_monotonic_platt,Monotonic CatBoost,w05_2012m05_m10,4,6390,78800,76404,2396,503532000,0.0289372274254665,0.0586737089201877,0.0170973046400228,0.0276634851409642,14570820,29544090,8609040,13929450,larger_target_residual_discrepancy_dominates,True
catboost_monotonic_platt,Monotonic CatBoost,w05_2012m05_m10,5,7493,88298,85593,2705,661616914,0.0901254241514146,0.111478179350173,0.000103470752563,0.0026142741568423,59628505,73755849,68458,1729648,larger_target_residual_discrepancy_dominates,True
